,missing_count,missing_pct
target_return_200d,49205,6.42
sma_200,48962,6.39
price_sma200_dev,48962,6.39
vol_ratio_50,15513,2.02
price_sma50_dev,12097,1.58
vol_ma50,12097,1.58
sma_50,12097,1.58
volume_change_1d,9398,1.23
vol_ratio_20,8273,1.08
volatility_20d,4963,0.65
target_return_20d,4963,0.65
relative_return_20d,4963,0.65
roc_20,4963,0.65
momentum_20,4963,0.65
bb_mid,4716,0.62
bb_upper,4716,0.62
sma_20,4716,0.62
bb_lower,4716,0.62
drawdown_20d,4716,0.62
price_sma20_dev,4716,0.62
vol_ma20,4716,0.62
cci,4719,0.62
rolling_max_20,4716,0.62
parkinson_vol_20d,4716,0.62
stoch_d,3758,0.49
rsi,3671,0.48
williams_r,3254,0.42
atr,3228,0.42
stoch_k,3254,0.42
target_return_5d,1244,0.16
m2_growth_3m,513,0.07
log_ret,249,0.03
daily_change,249,0.03
relative_log_ret_1d,249,0.03
target_return_1d,249,0.03
usd_rub_vol_20d,155,0.02
usd_rub_dev_from_ma20,155,0.02
close_lag_20d,43,0.01
log_ret_lag_20d,43,0.01
macro_key_rate_delta1m,43,0.01
macro_key_rate_lag3m,43,0.01
macro_key_rate_lag1m,43,0.01
m2_growth_3m_lag1m,43,0.01
m2_growth_3m_lag3m,43,0.01
m2_growth_3m_delta1m,43,0.01
macro_key_rate_delta3m,43,0.01
usd_rub_lag1m,43,0.01
usd_rub_lag3m,43,0.01
usd_rub_delta1m,43,0.01
usd_rub_delta3m,43,0.01
macro_inflation_lag1m,43,0.01
macro_inflation_lag3m,43,0.01
macro_inflation_delta1m,43,0.01
macro_inflation_delta3m,43,0.01
macro_money_supply_lag1m,43,0.01
macro_money_supply_lag3m,43,0.01
macro_money_supply_delta1m,43,0.01
macro_money_supply_delta3m,43,0.01
usd_rub_vol_20d_lag1m,43,0.01
usd_rub_vol_20d_lag3m,43,0.01
usd_rub_vol_20d_delta1m,43,0.01
m2_growth_3m_delta3m,43,0.01
real_rate_lag1m,43,0.01
real_rate_lag3m,43,0.01
real_rate_delta1m,43,0.01
real_rate_delta3m,43,0.01
usd_rub_dev_from_ma20_lag1m,43,0.01
usd_rub_dev_from_ma20_lag3m,43,0.01
usd_rub_dev_from_ma20_delta1m,43,0.01
usd_rub_vol_20d_delta3m,43,0.01
usd_rub_dev_from_ma20_delta3m,43,0.01
log_ret_lag_5d,4,0.0
market_log_ret_1d,7,0.0
close_lag_5d,4,0.0
